Este,Norte,Cota,recpe_og,recpe_val,distancia_m
9058.688,25682.267,2071.863,6.6,10.49835587,8.25
9053.335,25499.791,2194.482,24.12,22.58610153,4.14
9106.073,25349.458,2258.02,16.69,16.17718124,2.29
9088.216,25554.22,2242.245,19.35,19.77722359,4.6
9067.977,25552.933,2201.842,15.59,18.24846077,6.97
8845.722,25398.912,2064.784,27.4,28.42717171,6.84
8855.769,24600.047,2170.495,20.4,12.15999985,32.6
9068.621,24400.209,2253.404,16.2,17.41292953,7.92
9063.232,26122.814,2229.845,11.2,12.37934589,5.53
9098.691,26121.392,2168.927,13.3,13.32376289,7.28
9220.505,24652.054,2258.676,16.8,17.37231064,7.16
9226.807,24652.297,2244.243,23.8,22.08018303,5.78
9236.947,24652.71,2220.85,22.8,21.27209663,8.42
9243.989,24652.993,2204.287,18.4,19.04711914,8.21
8921.744,25157.924,2079.27,33.2,28.37963104,6.57
9148.667,25153.875,2183.871,13.1,13.58525276,4.15
9160.531,25154.848,2157.976,16.0,16.2022171,7.45
9075.285,25059.367,2151.481,18.5,22.47735596,3.31
8982.041,25304.784,2103.275,21.6,21.60000038,5.64
9251.047,24797.125,2259.456,19.5,18.67218971,6.39
9255.4,24797.011,2249.902,17.8,18.67966461,8.68
9147.664,24644.534,2267.778,21.2,20.93374062,5.79
9049.168,25105.435,2106.27,17.9,18.86940575,4.81
8961.385,25199.728,2095.895,25.3,24.47005844,5.44
9121.553,25004.225,2216.752,18.2,18.84393883,5.74
9125.906,25004.76,2197.752,16.7,17.23864365,2.45
9050.885,24995.89,2173.738,21.8,20.9178257,9.98
9097.223,25001.753,2171.095,13.8,16.97050476,4.29
9092.138,25001.692,2153.828,22.2,20.55868721,3.26
9131.443,24930.722,2177.629,18.5,19.19375038,6.84
9139.319,24850.438,2180.035,19.3,18.73313332,5.38
9106.492,24850.68,2157.935,17.3,17.90880585,5.92
9096.002,25123.51,2086.322,13.6,13.66407681,6.34
9030.921,25293.498,2074.759,16.6,16.23671532,7.75
9036.104,25293.147,2064.78,17.2,15.45030308,6.19
9041.974,25292.752,2053.468,14.1,13.85237122,8.51
9053.309,25292.012,2031.479,13.5,13.35661983,4.93
8955.965,25092.859,2169.608,29.1,28.38686562,2.35
9160.033,25174.428,2248.297,16.7,18.24313736,10.31
9173.758,25173.522,2223.337,15.3,15.17975903,7.43
9167.683,25229.723,2220.746,12.3,12.22163391,7.6
9168.833,25195.572,2226.462,15.2,14.80184269,4.41
9178.631,25195.111,2207.893,12.6,13.8447361,6.33
9164.003,25275.902,2220.48,14.4,14.58207703,7.86
9175.558,25275.503,2203.855,15.6,15.48792934,7.05
9089.31,25914.227,2107.155,23.0,21.99760628,5.42
9115.132,25926.376,2151.753,19.6,19.00361252,6.17
9084.72,25077.431,2254.35,19.6,19.79957962,3.16
9109.654,25223.431,2127.661,12.7,13.06599712,8.05
9185.509,25230.19,2188.614,14.9,15.40286255,6.7
9121.794,25143.887,2099.489,12.7,13.75662994,10.0
9107.47,25046.937,2155.053,20.3,21.11268616,3.6
8993.362,24949.724,2092.022,20.2,23.51110077,7.42
9142.435,24998.343,2225.366,22.2,21.75819969,5.33
9155.017,24997.334,2186.094,21.3,21.29963493,6.29
9163.498,24996.37,2158.903,17.7,19.3004303,8.99
9106.319,25107.954,2122.878,16.8,16.18235779,1.45
9114.878,25106.755,2108.823,13.0,13.57522869,1.52
9162.742,24600.275,2257.275,16.8,16.56841087,3.58
9148.6,24751.144,2224.664,16.8,16.20456886,5.86
9024.791,25049.912,2112.867,17.5,18.0705986,5.89
9061.638,24997.227,2066.106,15.2,16.34675789,7.22
9148.892,25008.675,2089.231,14.8,16.63977814,8.0
