Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore
9086.681,25873.767,2293.097,12.45,-0.9515182841460368,3,4
9090.232,25799.786,2216.679,26.31,1.296098676082296,2,4
9107.75,25724.239,2273.739,18.7,0.320289675857082,2,4
9172.051,25325.203,2229.431,8.27,-2.267393134045988,3,3
9138.085,25526.605,2254.042,18.95,0.358005786669042,2,4
9048.748,25624.589,2264.67,7.7,-2.450419337547743,3,4
9128.956,26026.907,2142.79,16.26,-0.07008054099205015,3,4
9127.239,26077.473,2134.087,16.63,-0.001254569035124871,3,4
9135.472,26185.79,2103.527,11.81,-1.128498827555329,3,4
9060.958,25048.295,2248.341,19.29,0.4334819661117883,2,3
9083.559,25047.579,2203.466,12.12,-1.040089549800798,4,3
9071.296,25223.558,2193.848,12.81,-0.8363979269169166,3,4
9118.763,25496.345,2228.477,17.8,0.195700178301204,2,4
9152.961,25228.884,2246.871,10.23,-1.579968353041125,3,3
9087.539,25424.299,2260.022,4.35,-5.199337582605575,4,4
9152.322,25375.337,2255.083,12.58,-0.91087286903535,3,4
9158.718,25124.315,2257.123,13.51,-0.666231474605669,3,3
9013.397,25120.145,2268.579,14.71,-0.3979179193672613,2,4
8955.94,25224.375,2250.865,16.1,-0.09927374872396871,2,4
8972.898,25204.149,2259.634,13.49,-0.6800125783688008,3,4
9135.684,25276.531,2261.074,16.66,0.00125456903512501,2,4
9042.047,25445.842,2258.192,18.9,0.3481497443296034,2,4
9092.749,25515.645,2161.087,11.98,-1.090930094401009,3,4
8950.309,25393.978,2098.258,19.58,0.4817838345515416,2,4
9181.744,26049.183,2298.524,17.68,0.1702416241534142,3,4
9101.951,26026.141,2201.359,9.43,-1.912314687935914,3,4
9165.053,26130.763,2183.727,11.95,-1.102204129666092,3,4
9167.498,26238.135,2190.937,16.25,-0.07408727446138573,3,4
9080.923,26025.93,2246.997,11.16,-1.301190684205984,3,4
9049.965,25926.086,2300.063,10.45,-1.534328927129561,3,4
9102.853,25631.876,2275.426,14.09,-0.5394308637341484,3,4
9026.41,25435.6,2269.221,20.58,0.6266114916038655,2,4
9024.056,25490.481,2202.284,18.18,0.2613873726778878,2,4
9058.688,25682.267,2071.863,6.6,-2.971951450597742,3,4
9053.335,25499.791,2194.482,24.12,1.083297854725801,2,4
9106.073,25349.458,2258.02,16.69,0.007527483323829474,2,4
9088.216,25554.22,2242.245,19.35,0.4502330983925351,2,4
9067.977,25552.933,2201.842,15.59,-0.213636118831163,3,4
8845.722,25398.912,2064.784,27.4,1.425010540789546,2,4
8855.769,24600.047,2170.495,20.4,0.602943093848241,1,1
9068.621,24400.209,2253.404,16.2,-0.08667363855178388,2,3
9063.232,26122.814,2229.845,11.2,-1.283861891254574,3,4
9098.691,26121.392,2168.927,13.3,-0.7315152969860136,3,4
9220.505,24652.054,2258.676,16.8,0.03639052269320685,2,3
9226.807,24652.297,2244.243,23.8,1.053106263987631,2,3
9236.947,24652.71,2220.85,22.8,0.91087286903535,2,3
9243.989,24652.993,2204.287,18.4,0.2783016875657953,2,3
8921.744,25157.924,2079.27,33.2,1.825378707082671,2,4
9148.667,25153.875,2183.871,13.1,-0.7630300992592184,3,3
9160.531,25154.848,2157.976,16.0,-0.1182041448033766,2,3
9075.285,25059.367,2151.481,18.5,0.2992297324571835,2,3
8982.041,25304.784,2103.275,21.6,0.743327161647077,2,4
9251.047,24797.125,2259.456,19.5,0.4740681138548057,2,3
9255.4,24797.011,2249.902,17.8,0.195700178301204,2,3
9147.664,24644.534,2267.778,21.2,0.708751856519529,2,3
9049.168,25105.435,2106.27,17.9,0.2136361188311631,2,4
8961.385,25199.728,2095.895,25.3,1.19300110187273,2,4
9121.553,25004.225,2216.752,18.2,0.2679198574612,2,3
9125.906,25004.76,2197.752,16.7,0.01254601618154256,2,3
9050.885,24995.89,2173.738,21.8,0.7630300992592185,2,3
9097.223,25001.753,2171.095,13.8,-0.6059551370107433,4,3
9092.138,25001.692,2153.828,22.2,0.8249333882852439,2,3
9131.443,24930.722,2177.629,18.5,0.2992297324571835,2,3
9139.319,24850.438,2180.035,19.3,0.4366734616095649,2,3
9106.492,24850.68,2157.935,17.3,0.1090879501271817,2,3
9096.002,25123.51,2086.322,13.6,-0.6462769374074668,4,3
9030.921,25293.498,2074.759,16.6,-0.007527483323829335,3,4
9036.104,25293.147,2064.78,17.2,0.1030567660911816,2,4
9041.974,25292.752,2053.468,14.1,-0.534175180637725,3,4
9053.309,25292.012,2031.479,13.5,-0.670557440622858,3,4
8955.965,25092.859,2169.608,29.1,1.554269606684581,2,4
9160.033,25174.428,2248.297,16.7,0.01254601618154256,2,3
9173.758,25173.522,2223.337,15.3,-0.2652838681602035,2,3
9167.683,25229.723,2220.746,12.3,-1.002056477837372,3,3
9168.833,25195.572,2226.462,15.2,-0.2926760607617537,2,3
9178.631,25195.111,2207.893,12.6,-0.8995338605921868,3,3
9164.003,25275.902,2220.48,14.4,-0.4672419879122241,3,3
9175.558,25275.503,2203.855,15.6,-0.207222833412141,2,3
9089.31,25914.227,2107.155,23.0,0.9416998217386928,2,4
9115.132,25926.376,2151.753,19.6,0.4860847196286867,3,4
9084.72,25077.431,2254.35,19.6,0.4860847196286867,2,3
9109.654,25223.431,2127.661,12.7,-0.8661892521534974,3,4
9185.509,25230.19,2188.614,14.9,-0.3580057866690429,2,3
9121.794,25143.887,2099.489,12.7,-0.8661892521534974,4,3
9107.47,25046.937,2155.053,20.3,0.5805236222863163,2,3
8993.362,24949.724,2092.022,20.2,0.5605989320293623,2,2
9142.435,24998.343,2225.366,22.2,0.8249333882852439,2,3
9155.017,24997.334,2186.094,21.3,0.7284361304927621,2,3
9163.498,24996.37,2158.903,17.7,0.1723473147982996,2,3
9106.319,25107.954,2122.878,16.8,0.03639052269320685,2,3
9114.878,25106.755,2108.823,13.0,-0.7878760170254154,4,3
9162.742,24600.275,2257.275,16.8,0.03639052269320685,2,3
9148.6,24751.144,2224.664,16.8,0.03639052269320685,2,3
9024.791,25049.912,2112.867,17.5,0.1359106806464805,2,4
9061.638,24997.227,2066.106,15.2,-0.2926760607617537,4,3
9148.892,25008.675,2089.231,14.8,-0.3803256417636312,4,3
9168.51,24644.047,2234.82,14.8,-0.3803256417636312,2,3
9138.208,24802.777,2209.437,14.2,-0.5116675283484657,4,3
9071.489,25001.224,2080.171,16.5,-0.02132928514383572,2,3
9113.42,24850.564,2137.583,19.8,0.5034973903918751,2,3
9009.014,25049.252,2136.591,16.6,-0.007527483323829335,2,4
9043.656,25050.966,2084.001,17.5,0.1359106806464805,2,4
8896.544,25273.767,2220.41,23.3,0.9931456094201362,2,4
9209.802,25047.189,2179.258,12.7,-0.8661892521534974,4,3
8915.437,25157.373,2092.037,18.5,0.2992297324571835,2,4
9011.498,25087.536,2094.268,22.3,0.8428931997765781,2,4
9104.96,25046.771,2087.953,16.8,0.03639052269320685,2,3
8958.989,25048.286,2128.738,21.3,0.7284361304927621,2,4
9025.024,24996.965,2141.705,22.9,0.9255717259908262,2,4
9184.906,24947.488,2236.983,21.2,0.708751856519529,2,3
9202.591,24947.151,2189.149,23.8,1.053106263987631,2,3
9154.807,24910.028,2132.912,19.1,0.3816746537655627,2,3
9102.418,24909.079,2202.363,16.9,0.05899893930614265,2,3
9193.899,24782.66,2198.156,18.7,0.320289675857082,2,3
8981.244,25570.798,2163.617,16.4,-0.04266827932052222,3,4
8985.26,25581.47,2160.52,19.8,0.5034973903918751,2,4
9048.011,25598.299,2164.725,19.5,0.4740681138548057,2,4
9036.016,25339.931,2059.446,27.4,1.425010540789546,2,4
9087.897,25679.261,2160.895,12.9,-0.81522107427356,3,4
9080.64,25679.899,2138.816,12.4,-0.9734487290930867,3,4
9137.079,25045.5,2095.247,19.4,0.4612146045705892,2,3
9174.964,25049.175,2245.646,24.9,1.148600572912831,2,3
9132.332,25143.291,2075.454,16.8,0.03639052269320685,2,3
8700.032,23604.571,1906.354,41.57,2.453086075353951,1,1
9011.706,23703.441,2064.365,29.46,1.577930091224506,2,2
9031.884,23703.831,2029.252,26.79,1.346610387723196,2,2
8626.29,23802.141,2205.981,23.44,1.006433589319123,1,1
8877.836,23803.784,1801.859,37.6,2.09658852223175,1,2
8925.923,23802.574,1733.914,33.38,1.837692513672278,1,2
8665.476,23900.856,2134.819,22.25,0.8383298054451094,1,1
8711.764,23899.764,2044.779,23.27,0.9865023968059933,1,1
8787.671,23900.829,1889.056,39.85,2.280163727337502,1,1
8978.734,23901.286,2120.061,25.02,1.163759198525006,2,2
9027.013,23902.364,2030.22,19.27,0.4224827724521058,4,2
9050.126,23796.774,2085.112,28.16,1.477337115323307,2,2
8858.923,23797.428,2157.081,22.08,0.8045963803602998,1,1
8817.198,24001.906,2237.681,36.46,2.032938294250141,1,1
8898.915,24004.624,2096.097,31.68,1.751488841246049,1,1
8681.379,23999.152,2109.7,29.1,1.554269606684581,1,1
8713.667,23999.104,2058.241,41.68,2.469189366627092,1,1
8762.251,23999.386,1983.378,43.35,2.668426369214532,1,1
8690.11,23710.989,2218.315,8.31,-2.252874739673297,1,1
8816.552,24095.501,2011.738,28.33,1.49583967530224,1,1
8835.374,24203.585,1996.557,16.74,0.0213113746514239,1,1
8858.187,24204.686,1927.486,22.09,0.8065423774811203,1,2
8913.441,24207.801,1756.207,22.39,0.8561716633361495,0,2
9050.965,24203.257,1263.665,23.58,1.030374991802104,0,0
8777.834,24301.351,2144.872,23.94,1.062094826394535,1,1
9020.232,24306.17,1488.503,36.24,2.014636764095316,0,0
9061.478,24307.872,1371.047,15.59,-0.213636118831163,0,0
9215.323,23699.381,1964.187,31.13,1.730632281426165,2,2
9155.354,24100.247,2178.979,28.26,1.49070923622097,2,3
9167.337,24100.085,2159.057,24.55,1.127437725884892,2,3
8599.8,24045.4,1953.3,59.66,3.298038577639229,1,1
8604.3,24045.1,1942.2,35.66,1.975139115822331,1,1
8606.3,24044.9,1937.4,22.91,0.930036179723713,1,1
8608.6,24044.7,1931.8,22.55,0.8759457518609559,1,1
8628.2,24043.0,1883.1,29.73,1.602256432367752,1,1
8631.4,24042.7,1875.0,34.09,1.889854464862739,1,1
9046.7,23694.7,2027.3,21.23,0.7184619962535121,2,2
9050.4,23694.5,2020.8,26.3,1.292464893096989,2,2
9062.9,23693.7,1998.6,42.74,2.598475931214059,2,2
9068.1,23693.3,1989.5,26.56,1.325619263086352,2,2
8697.8,23902.3,2131.3,32.22,1.784950170834355,1,1
8715.8,23902.6,2094.2,29.14,1.56138747028482,1,1
8724.9,23902.8,2075.3,22.61,0.8883093448377878,1,1
