Este_val,Norte_val,Cota_val,recpe_og,recpe_val,KNN,RandomForest,GradientBoosting,XGBoost
9165.0,25077.5,2167.5,23.79,23.36639214,20.024044802282987,17.366857094354682,17.366781856771986,18.311224
9025.0,25437.5,2107.5,23.79,22.96831512,22.199228843480892,20.368845198626257,21.209404464935375,20.86074
9245.0,24702.5,2242.5,20.34,20.37264633,19.44068310542833,18.72037800282671,18.731028688629202,18.95315
8995.0,24972.5,2137.5,28.51,25.53500748,22.958797229999625,20.447595180325102,20.77889679284523,21.197502
9095.0,25047.5,2122.5,22.42,21.35699654,19.594020693239592,18.077701036683916,17.73207854694471,17.5
9045.0,25347.5,2092.5,23.0,20.52698708,19.804269659482774,19.514175824574064,19.32042726583488,18.700039
9065.0,25647.5,2107.5,15.68,15.52139854,17.901340524261936,17.6,19.037380147256407,18.682592
9015.0,25647.5,2107.5,20.63,20.56583023,20.316783253943377,19.652162201185664,20.30242025206641,20.39185
8985.0,25032.5,2167.5,29.72,28.34173584,25.168899915306568,21.129838321290666,22.10424687127593,22.16382
9065.0,25752.5,2092.5,19.61,19.25937653,17.8,18.074791480293417,17.851160191665414,17.5
9035.0,25752.5,2107.5,22.22,20.95506096,19.602385070467705,19.54116456274186,20.02306811452688,19.376696
9075.0,25617.5,2107.5,19.19,18.24697876,17.929111322951595,17.70654250827008,17.387597862121545,17.197084
8995.0,25647.5,2092.5,20.26,20.22477531,20.555139616592555,19.926197976577917,19.901009901560172,19.734432
9085.0,25062.5,2137.5,21.14,20.36577988,20.45,17.8,16.4,14.988571
9105.0,25707.5,2197.5,23.47,22.2577858,21.142842122462106,17.756693269605716,16.58206378430878,16.8
9155.0,25152.5,2167.5,13.01,13.9646349,14.8,16.965408771609383,16.381649958254123,16.940483
9205.0,25002.5,2122.5,26.96,24.75579834,21.799383813242073,18.711583542402746,17.22172910440112,18.434946
9035.0,25032.5,2227.5,18.09,18.6484623,18.94930433945484,19.528246840818806,21.19119015040883,20.985666
8875.0,25452.5,2137.5,28.65,27.92974281,27.69307731981244,21.93246903055379,22.695891942195207,21.197737
9105.0,25092.5,2167.5,26.39,25.6517086,22.51358739466689,18.043486735816746,19.143796707143558,19.278267
8995.0,25752.5,2107.5,26.3,23.11593246,20.39315531973677,19.933475853629552,20.4,19.692144
8945.0,25167.5,2167.5,18.78,18.72379684,19.772404788164554,21.141374471726053,20.831572305700444,20.778645
9215.0,24747.5,2182.5,19.68,19.84345627,20.029600651525445,19.226611653945973,19.8058097177346,18.80344
9025.0,24972.5,2122.5,19.02,21.09285545,20.398762920307814,20.444421731097393,21.4393200500369,22.2
9145.0,24852.5,2152.5,23.29,23.01739311,20.81377407575452,19.197984711399847,18.983422832493215,18.744532
8965.0,25092.5,2152.5,19.93,20.16479492,22.18343474243431,21.02821407173949,22.478583686712216,22.068983
8965.0,25152.5,2122.5,17.92,18.53638458,20.504070482524696,20.80893900669654,20.462000685458452,20.317936
9205.0,24747.5,2212.5,20.26,21.77732658,19.949667534435324,18.697340875363185,17.45974938117134,18.426683
9255.0,24852.5,2182.5,23.11,22.76652527,23.384876400644842,19.34585551577448,22.59825249265653,20.842798
9275.0,24792.5,2212.5,26.63,19.7482338,22.794206164154,19.189451774782416,21.427212292943594,20.688597
9055.0,25002.5,2182.5,22.07,20.17959785,19.800574981780812,18.908302732719278,18.631987378026732,18.19085
9035.0,25347.5,2092.5,17.55,19.82050705,19.2144194364461,19.932104999035946,20.021563614631948,20.25058
9055.0,25392.5,2107.5,12.98,13.38725853,16.39524901478769,17.8,17.026558681675894,16.8
9065.0,25197.5,2167.5,19.4,19.87752342,19.930979130563145,18.49849394796329,19.52281746846146,19.80365
8995.0,25752.5,2137.5,15.36,18.81340599,17.196390779557394,19.61186837634606,19.30621861817578,19.110891
9125.0,25152.5,2242.5,24.47,23.6422596,20.630279474723302,17.73051636082976,18.14662672633162,18.04069
9065.0,25467.5,2152.5,20.73,19.7052021,19.279474873708157,18.442358064336535,19.825706203630713,19.39231
9045.0,25602.5,2122.5,21.28,21.15313339,20.397993969613474,19.342747844075966,19.290440603034423,19.29019
9135.0,25152.5,2197.5,23.53,21.41197205,17.75867034062358,17.361810286352785,15.849660779916753,16.690926
9115.0,24942.5,2227.5,20.4,19.90682602,19.369692919168106,18.962480248371364,20.939012399843417,20.019154
9045.0,25032.5,2242.5,23.22,20.96052933,20.529060221193657,19.290762444811794,20.809883321267183,20.639967
8985.0,25302.5,2167.5,24.13,20.59841728,20.99009793527613,20.703999241012482,20.835416819966163,21.3523
8995.0,25257.5,2272.5,22.78,20.88338852,20.411023487689015,19.220006905864558,24.483162462668876,22.2
9135.0,25257.5,2212.5,14.75,15.24954414,15.242955223504097,17.23451921733775,16.711673001146877,16.869
8995.0,25752.5,2122.5,16.39,19.88153458,18.176859356938976,19.722498241447912,19.996223557019448,19.50025
9225.0,24852.5,2242.5,17.72,19.07335281,18.962131021667133,18.991124005802956,19.64030295225215,20.583282
9195.0,25002.5,2257.5,22.91,22.34430504,20.026831455069313,18.02125049969337,18.062199598867284,17.802654
9035.0,25242.5,2182.5,19.96,18.49306107,19.876461220390812,19.650395314085358,19.939552055289163,19.321068
9125.0,25257.5,2182.5,15.98,16.70232773,16.723893229463304,17.401908802220404,17.098992400805635,15.890517
9095.0,25257.5,2122.5,16.24,16.40382576,15.895345455769508,17.5,17.32742268340222,16.367601
8995.0,25302.5,2137.5,19.31,19.88977814,19.83753057168523,20.26802573450928,19.97137677394384,20.010736
9085.0,25407.5,2197.5,20.99,19.63471413,18.20731913248181,16.387428592602554,15.624064366219496,14.265373
9085.0,25467.5,2137.5,18.08,17.95398903,16.41461025250009,17.60179660815557,16.368678109676917,15.600817
9125.0,25587.5,2257.5,27.31,26.79996681,22.0560029905841,17.705020910564745,16.887648947010227,15.956172
9175.0,24747.5,2257.5,10.58,12.15965271,14.464072136866916,17.966397149062573,17.8,16.637571
9055.0,24747.5,2257.5,30.82,29.38910484,23.422671629084263,17.823053090434552,16.2,16.03235
9245.0,24792.5,2272.5,20.43,20.9988575,19.49406784067041,19.198261045908122,25.248083784148847,22.402172
9105.0,24942.5,2242.5,20.65,19.58979988,19.86275510112334,18.722233908738133,20.30023382474531,19.458454
9055.0,25002.5,2212.5,17.95,18.57090569,18.785724214911983,18.49302734615173,19.200085436178046,19.58258
9065.0,25197.5,2182.5,23.96,20.46217728,20.255474601624975,18.3042964165875,19.198428038408498,18.179785
9195.0,24747.5,2227.5,23.52,19.65002251,19.93227035795813,18.65611008337462,18.5,18.497246
9255.0,24897.5,2227.5,30.29,26.96967506,25.13650438669554,19.238558493605858,23.117406829470998,22.269321
9065.0,25197.5,2152.5,19.23,19.20365143,19.47488248820109,18.45202266584899,19.497387618146806,19.80365
9015.0,25272.5,2182.5,19.13,19.0932312,19.37735949615822,19.89653295665356,20.04850848068775,19.352556
9105.0,25257.5,2152.5,21.9,20.89979362,19.539126876137026,17.592141398030698,17.6,17.253967
8975.0,25302.5,2182.5,15.87,17.52588844,17.5,20.16818261461363,20.363617658894018,19.6468
9045.0,25467.5,2182.5,19.16,19.43870735,19.795361303605002,19.50792347749603,19.959513592106227,18.899893
8975.0,25107.5,2212.5,40.83,37.63652039,27.326356324130902,19.80248433955597,21.285755973545466,20.211973
9135.0,25887.5,2152.5,18.05,17.87197876,16.653689605357833,16.70211131356539,15.4,16.732313
9085.0,25992.5,2152.5,11.42,13.1761713,13.951546903180711,14.504480162119137,14.137862104497303,14.677138
9085.0,25707.5,2197.5,24.93,23.50471306,21.18401818332478,17.5,16.418882311147495,15.62058
9055.0,25692.5,2227.5,17.15,17.61705208,17.703715127173396,16.8,16.0,16.770327
9075.0,25902.5,2182.5,21.09,20.45934486,18.5,17.501155186782153,16.501895810048666,15.405506
9085.0,25947.5,2197.5,16.03,16.05219078,15.773202070778504,15.627866809671897,15.534455481526736,14.779646
9095.0,25947.5,2197.5,16.31,15.7696743,15.60355402482472,16.58574288277715,16.097013597909655,15.639664
9115.0,25947.5,2182.5,13.33,14.67739582,13.998566040384068,16.40066189427312,15.184617442199755,15.506057
9015.0,25752.5,2167.5,19.46,18.57598686,18.230055852238582,19.503112350964145,20.381015689219733,20.172743
9085.0,25947.5,2287.5,18.72,17.74816513,17.752625241032348,14.834606418079165,12.878220151050021,14.119546
9015.0,25692.5,2197.5,7.78,10.7548418,9.906323695190208,17.49473712882627,17.141997759605456,17.923157
9135.0,25737.5,2242.5,20.39,20.10279083,18.610079691732153,17.766023558490936,16.985792057305478,16.623909
9055.0,25797.5,2227.5,18.02,19.06660271,18.7521619775982,17.098474875846353,17.507825269826014,17.518736
9075.0,25797.5,2182.5,19.19,19.58585548,19.17492798700196,17.78604058856,16.4,15.670231
9085.0,25557.5,2197.5,19.65,19.15052986,19.346197683660456,17.184315139652536,16.6,15.784802
9155.0,26007.5,2272.5,6.26,10.43257332,11.632450104711152,14.24,14.791598415729801,13.20075
8915.0,25287.5,2152.5,14.99,15.80451012,19.27769037385756,21.14343302641486,20.39528522364681,21.813335
9105.0,25287.5,2227.5,19.18,19.03216743,16.17287866962833,17.36605417209557,18.03388398998469,17.604822
