Norte,Este,Cota,dist_3d_m,Rec_Peso_PND25_(%),recpe,diferencia
24400.209,9068.621,2253.404,7.9194405105421035,16.2,17.41292953,-1.2129295300000003
26122.814,9063.232,2229.845,5.530230103712986,11.2,12.37934589,-1.1793458900000005
26121.392,9098.691,2168.927,7.277875651590084,13.3,13.32376289,-0.02376288999999865
24652.054,9220.505,2258.676,7.1586952023400245,16.8,17.37231064,-0.5723106399999978
24652.297,9226.807,2244.243,5.7770673355965165,23.8,22.08018303,1.7198169700000001
24652.71,9236.947,2220.85,8.423622083166483,22.8,21.27209663,1.5279033700000006
24652.993,9243.989,2204.287,8.209661320664274,18.4,19.04711914,-0.6471191400000009
25157.924,8921.744,2079.27,6.569186555425714,33.2,28.37963104,4.820368960000003
25153.875,9148.667,2183.871,4.149355974123733,13.1,13.58525276,-0.48525275999999984
25154.848,9160.531,2157.976,7.4479286382189445,16.0,16.2022171,-0.2022170999999986
25059.367,9075.285,2151.481,3.306852733341731,18.5,22.47735596,-3.9773559600000006
25304.784,8982.041,2103.275,5.641184450095745,21.6,21.60000038,-3.7999999946691787e-07
24797.125,9251.047,2259.456,6.390834843742772,19.5,18.67218971,0.8278102899999986
24797.011,9255.4,2249.902,8.677483794279754,17.8,18.67966461,-0.879664609999999
24644.534,9147.664,2267.778,5.790624836751566,21.2,20.93374062,0.26625938000000104
25105.435,9049.168,2106.27,4.811377037812755,17.9,18.86940575,-0.96940575
25199.728,8961.385,2095.895,5.436748476800682,25.3,24.47005844,0.8299415600000017
25004.225,9121.553,2216.752,5.739071179206212,18.2,18.84393883,-0.6439388299999997
25004.76,9125.906,2197.752,2.4478439492733797,16.7,17.23864365,-0.5386436500000009
24995.89,9050.885,2173.738,9.976871704096618,21.8,20.9178257,0.8821742999999991
25001.753,9097.223,2171.095,4.292291113146621,13.8,16.97050476,-3.17050476
25001.692,9092.138,2153.828,3.256914490740683,22.2,20.55868721,1.6413127900000006
24930.722,9131.443,2177.629,6.8381411216803665,18.5,19.19375038,-0.6937503800000009
24850.438,9139.319,2180.035,5.383477500649884,19.3,18.73313332,0.5668666800000004
24850.68,9106.492,2157.935,5.922642062458182,17.3,17.90880585,-0.6088058499999995
25123.51,9096.002,2086.322,6.339699361956854,13.6,13.66407681,-0.06407680999999954
25293.498,9030.921,2074.759,7.754181194684116,16.6,16.23671532,0.36328468000000314
25293.147,9036.104,2064.78,6.1891699766615735,17.2,15.45030308,1.7496969199999999
25292.752,9041.974,2053.468,8.506303780138673,14.1,13.85237122,0.24762877999999944
25292.012,9053.309,2031.479,4.925450842307895,13.5,13.35661983,0.14338017000000036
25092.859,8955.965,2169.608,2.3460115089234512,29.1,28.38686562,0.7131343800000032
25174.428,9160.033,2248.297,10.30890304542652,16.7,18.24313736,-1.5431373599999993
25173.522,9173.758,2223.337,7.4254708268237595,15.3,15.17975903,0.12024097000000111
25229.723,9167.683,2220.746,7.599785128542218,12.3,12.22163391,0.07836609000000117
25195.572,9168.833,2226.462,4.414353520052931,15.2,14.80184269,0.39815730999999843
25195.111,9178.631,2207.893,6.333713839446147,12.6,13.8447361,-1.2447361000000008
25275.902,9164.003,2220.48,7.864350767862942,14.4,14.58207703,-0.1820770300000003
25275.503,9175.558,2203.855,7.05091469243565,15.6,15.48792934,0.11207065999999877
25914.227,9089.31,2107.155,5.422882443867129,23.0,21.99760628,1.0023937200000006
25926.376,9115.132,2151.753,6.170802946132469,19.6,19.00361252,0.5963874800000006
25077.431,9084.72,2254.35,3.163172616219493,19.6,19.79957962,-0.19957961999999796
