block_id,xcentre,ycentre,zcentre,xlength,ylength,zlength,recpe,ue
2236484,8685.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236485,8685.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236486,8685.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236487,8695.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236489,8715.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236492,8705.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236493,8705.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2237645,8575.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237648,8595.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237649,8585.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237651,8595.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237652,8585.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237653,8585.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237654,8595.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237655,8595.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237656,8605.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237657,8615.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237658,8615.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237659,8605.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237660,8615.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237661,8605.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237662,8615.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237663,8605.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237664,8635.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237665,8635.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237666,8635.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237667,8635.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237668,8625.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237669,8625.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237670,8625.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237671,8625.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237672,8645.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237673,8655.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237674,8655.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237675,8655.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237676,8645.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237677,8655.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237678,8645.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237679,8645.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237680,8675.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237681,8665.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237682,8665.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237683,8665.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237684,8675.0,25722.5,1147.5,10.0,15.0,15.0,12.0,2
2237685,8675.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237686,8675.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237687,8665.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
2237688,8695.0,25737.5,1147.5,10.0,15.0,15.0,12.0,2
2237689,8695.0,25737.5,1162.5,10.0,15.0,15.0,12.0,2
2237690,8685.0,25722.5,1162.5,10.0,15.0,15.0,12.0,2
